"page","section","block","block_type","role","atom_ref"
"global","brand","identity","paragraph","wordmark","wordmark"
"global","brand","identity","paragraph","tagline","place"
"global","footer","connect","paragraph","body","follow"
"home","meta","seo","meta","title","seo-title"
"home","meta","seo","meta","description","seo-description"
"home","normalization","whitespace","paragraph","body","whitespace-runs"
"home","normalization","whitespace-unicode","paragraph","body","whitespace-unicode-class"
"home","normalization","smart-quotes","paragraph","body","smart-quotes"
"home","normalization","unicode","paragraph","body","nfc-composed"
"home","normalization","unicode","paragraph","body","nfc-decomposed"
"home","inline-vocab","prose","paragraph","body","emphasis"
"home","inline-vocab","prose","paragraph","body","escaped-asterisk"
"home","entities","body","paragraph","body","entities"
"home","attire","dress-code","paragraph","dress-code","dress-code"
"home","services","list","list","list-item","service-1"
"home","services","list","list","list-item","service-2"
"home","services","list","list","list-item","service-3"
"home","masthead","titles","paragraph","heading","masthead-heading"
"home","masthead","titles","paragraph","subtitle","_PENDING_"
"home","masthead","titles","paragraph","tagline","place"
"home","gallery","images","paragraph","credit","_NA_OMITTED_"
"home","gallery","images","paragraph","film","_NA_IMPOSSIBLE_"
