"name","content","notes"
"wordmark","Fixture Atelier","plain — global wordmark; anchors a block"
"place","Windsor, Berkshire","SUPERPOSITION — one atom, two placements (global/brand + home/masthead)"
"follow","Follow along.","SINGLE-ATOM BLOCK — block id = merkleLeaf(atomId) != atomId"
"whitespace-runs","  spaced   out	across
lines  ","WHITESPACE — leading/trailing + multi-space + TAB + embedded LF -> ""spaced out across lines"""
"whitespace-unicode-class","　  Cut to measure　	finished. 　","WHITESPACE CLASS — leading/trailing NBSP U+00A0 + ideographic U+3000 + a bare space, internal NBSP/thin-space U+2009/ideographic+TAB runs -> ""Cut to measure finished.""; pins the §2.2 whitespace CLASS (the production \s collapse — ECMAScript WhiteSpace, not ASCII-only) against the sharpest non-ASCII cases"
"smart-quotes","“It’s flawless,” she said.","SMART QUOTES — U+201C/U+2019/U+201D fold to ASCII "" and '"
"nfc-composed","café","NFC composed — ""é"" as U+00E9; same atom id as nfc-decomposed"
"nfc-decomposed","café","NFC decomposed — ""e"" + U+0301; same atom id as nfc-composed"
"emphasis","Cut with *precision* and **care**.","EMPHASIS — *em*/**strong** are meaning; marks pass normalization and ARE hashed"
"escaped-asterisk","Rated A\* on every seam.","ESCAPED ASTERISK — literal * escapes as \*; the backslash is content and hashes"
"entities","Bespoke & tailored: <cut> ""just so""","ENTITY-BEARING — & < > and ASCII quotes; DOM encode/decode must reproduce the atom id"
"dress-code","BLACK_TIE","PROJECTED ATOM — enum canonical; the renderer projects via enum-label to ""black tie"" and marks data-atom-projected=""enum-label""; the §6.2 DOM-text rule RECOMPUTES enum-label(canonical) rather than trusting the label"
"masthead-heading","Fixture","present atom sitting beside a _PENDING_ vacancy in one block (content-spine filter test)"
"service-1","Bespoke suits","LIST — list-valued role, item 1"
"service-2","Bridal couture","LIST — list-valued role, item 2"
"service-3","Heritage restoration","LIST — list-valued role, item 3"
"seo-title","Fixture Atelier — Windsor","SEO — renders into <head> as <title>; carries no data-atom-hash (head exemption)"
"seo-description","The SST conformance fixture: one tiny artefact exercising every identity edge case.","SEO — renders as <meta name=""description"">; head-exempt from Gate 3 reverse"
"_PENDING_","_PENDING_","RESERVED sentinel — not-yet-produced; geometry spine only, filtered from the content spine"
"_NA_OMITTED_","_NA_OMITTED_","RESERVED sentinel — vacant by choice, revisitable; geometry spine only"
"_NA_IMPOSSIBLE_","_NA_IMPOSSIBLE_","RESERVED sentinel — foreclosed by reality; geometry spine only"
